,Player,Year,Salaries,Status,Z-Score Salary
244,Latrell Sprewell,2002,11250000,ALABAMA,-0.3872983346207417
245,Chauncey Billups,2002,2475000,COLORADO,-1.1766838367087824
246,Keith Van Horn,2002,10865250,UTAH,0.14169291858561525
247,Morris Peterson,2002,966000,MICHIGANST,-1.0418616064802935
248,Desmond Mason,2002,1155240,OKSTATE,-0.7035530334718137
249,Bonzi Wells,2002,2028239,BALLST,-0.5397372691036045
250,Kurt Thomas,2002,4413375,TXCHRIST,-0.7305553258663063
251,Troy Hudson,2002,590850,SILLINOIS,-0.5391599119980234
252,Andre Miller,2002,1934520,UTAH,-1.4045790166825647
253,Metta World Peace,2002,1241760,STJOHNS,-1.369344008146529
254,Tim Thomas,2002,9675000,VILLANOVA,-0.5472540466055649
255,Derek Anderson,2002,6495000,KENTUCKY,0.7071067811865476
256,Eric Snow,2002,3750000,MICHIGANST,-0.618691022858387
257,Donyell Marshall,2002,6510000,UCONN,1.7272073785921542
258,Alvin Williams,2002,5350000,VILLANOVA,0.7071067811865475
259,Cliff Robinson,2002,7656250,USC,0.8067879348850954
260,Corliss Williamson,2002,4000000,ARKANSAS,-0.727210898549
261,Brad Miller,2002,4400000,PURDUE,-1.0020575888183578
262,Troy Murphy,2002,1310400,NOTREDAME,-1.1164820660702361
263,Jason Williams,2002,2554072,FLORIDA,-0.6142827657561849
264,Nick Van Exel,2002,10164642,CINCY,0.16378070024103783
265,Bobby Jackson,2002,2475000,MINNESOTA,-0.8052575057056381
266,James Posey,2002,1120680,XAVIER,-1.0146194965154043
267,John Stockton,2002,7000000,GONZAGA,-0.7071067811865476
268,Reggie Miller,2002,12045075,UCLA,0.6269854190082651
269,Pat Garrity,2002,1569691,NOTREDAME,0.030054135323020557
270,Derek Fisher,2002,3000000,ARKANSASLR,-0.6540793561629242
271,Jamal Crawford,2002,1894560,MICHIGAN,-1.2645475091508198
272,Kerry Kittles,2002,8166667,VILLANOVA,-0.22056081318147872
273,Brian Grant,2002,9925076,XAVIER,-0.024341406780372027
274,Jamaal Magloire,2002,1048080,KENTUCKY,-0.7302484001814722
275,Malik Rose,2002,2285000,DREXEL,-0.9497445996061653
276,Joe Johnson,2002,1608840,ARKANSAS,-1.506286946256138
277,Lorenzen Wright,2002,5500000,MEMPHIS,-0.33824071260127303
278,Lucious Harris,2002,2400000,LONGBEACH,0.2659228935396895
279,Jumaine Jones,2002,786600,GEORGIA,-0.613517757929009
280,Brent Barry,2002,4680000,OREGONST,0.019307193124391425
281,Darrell Armstrong,2002,4005000,FAYETVILST,0.8784008122134872
282,Malik Allen,2002,332817,VILLANOVA,-0.7071067811865475
283,Shane Battier,2002,2203080,DUKE,-1.0922803055071415
284,Doug Christie,2002,5200000,PEPPERDINE,0.2127976376868964
285,Eric Williams,2002,4448000,PROVIDENCE,0.387855046982004
286,Howard Eisley,2002,4781250,BOSTONCOLL,-0.7071067811865475
287,Aaron McKie,2002,4000000,TEMPLE,-1.0
288,Theo Ratliff,2002,9667969,WYOMING,0.7071067811865476
289,Calbert Cheaney,2002,2400000,INDIANA,0.7071067811865476
290,Jerome Williams,2002,5000000,GEORGETOWN,0.23902775388669822
291,Shandon Anderson,2002,5500000,GEORGIA,0.1865117742382477
292,Rick Fox,2002,3791250,UNC,1.010488269112376
293,Erick Dampier,2002,6235000,MISSST,-0.980820729519573
294,Kenny Thomas,2002,946920,NMEXICO,-0.6838429915838625
295,Eddie Griffin,2002,2011080,SETONHALL,0.3930561875552022
296,Tony Delk,2002,2475000,KENTUCKY,0.7071067811865476
297,Zach Randolph,2002,1019280,MICHIGANST,-1.5421531030897384
298,Rodney White,2002,1693560,CHARLOTTE,-0.7071067811865476
299,Ruben Patterson,2002,4538000,CINCY,-0.08554164600488098
300,Tyronn Lue,2002,1700000,NEBRASKA,0.4921768870987776
301,Raef LaFrentz,2002,3755142,KANSAS,-0.5333962886983001
302,Anthony Peeler,2002,2978500,MISSOURI,0.23980491685799601
303,Travis Best,2002,3375000,GATECH,0.4982542558138137
304,Bruce Bowen,2002,715850,CALSTFULL,-2.1609454694124417
305,Dale Davis,2002,7010000,CLEMSON,0.0487396315767606
306,Othella Harrington,2002,2475000,GEORGETOWN,-0.19289712886816485
307,Jamaal Tinsley,2002,749160,IOWAST,-0.7071067811865476
308,Jon Barry,2002,3175000,GATECH,0.9218630193898342
309,David Robinson,2002,9500000,NAVY,-0.7071067811865476
310,Shawn Bradley,2002,4500000,BYU,0.7071067811865476
311,Keon Clark,2002,1971163,UNLV,1.1460762700059501
312,Kevin Ollie,2002,590850,UCONN,-0.6007797681631257
313,Robert Horry,2002,5300000,ALABAMA,0.7699721701835353
314,Ben Wallace,2002,4700000,VAUNION,-0.5663118122673371
315,Brendan Haywood,2002,978600,UNC,-1.0870212714135512
316,Aaron Williams,2002,2475000,XAVIER,0.0
317,Walter McCarty,2002,3125000,KENTUCKY,1.043712479534223
318,Devean George,2002,834250,AUGSBURGMN,-0.8696386088945558
319,Tony Battie,2002,3600000,TXTECH,-0.9515025711248198
320,Jim Jackson,2002,789170,OHIOST,-0.5786834296512017
321,Rodney Rogers,2002,2400000,WAKE,0.1500839805092501
322,Gary Trent,2002,715850,OHIO,-0.7071067811865476
323,Jacque Vaughn,2002,590850,KANSAS,-1.2132353671521952
324,Anthony Mason,2002,4538000,TENNST,-0.7071067811865475
325,Scott Padgett,2002,781680,KENTUCKY,1.0298725208121098
326,Chucky Atkins,2002,3300000,SFLORIDA,-0.7715885154726593
327,Brian Skinner,2002,1483461,BAYLOR,-0.7071067811865475
328,Jason Collins,2002,1067400,STANFORD,-0.7573104854101055
329,Erick Strickland,2002,637415,NEBRASKA,-0.7071067811865476
330,Greg Buckner,2002,1200000,CLEMSON,-1.3364519400970807
331,Adonal Foyle,2002,4400000,COLGATE,-0.5360530759806177
332,Greg Ostertag,2002,6933328,KANSAS,0.49999863247582726
333,Earl Watson,2002,332817,UCLA,-1.0835342636094174
334,Jeff McInnis,2002,590850,UNC,-0.840580027199623
335,Marc Jackson,2002,3250000,TEMPLE,-0.7071067811865476
336,Mark Blount,2002,540850,PITT,-0.8110996236193765
337,Milt Palacio,2002,690000,COLORADOST,-0.5676455408824189
338,Alan Henderson,2002,6500312,INDIANA,0.00012294566465037527
339,Mark Jackson,2002,3860000,STJOHNS,0.7071067811865476
340,Bo Outlaw,2002,6000000,HOUSTON,0.28360438342200606
341,Andrew DeClercq,2002,2900000,FLORIDA,-0.7071067811865476
342,George Lynch,2002,2400000,UNC,-0.7071067811865475
343,Walt Williams,2002,5000000,MARYLAND,0.7071067811865476
344,Moochie Norris,2002,3600000,WFLORIDA,0.7071067811865476
345,Trenton Hassell,2002,332817,AUSTINPEAY,-0.8058646524494105
346,Kelvin Cato,2002,6048000,IOWAST,0.034148064145676595
347,Michael Doleac,2002,2000856,UTAH,1.125713366908523
348,Adrian Griffin,2002,565850,SETONHALL,-1.0643932739101454
349,Bryon Russell,2002,5142857,LONGBEACH,1.016710742052853
350,Sean Rooks,2002,2400000,ARIZONA,0.7071067811865476
351,Samaki Walker,2002,1400000,LOUISVILLE,-0.7071067811865475
352,Scott Williams,2002,4650000,UNC,0.7071067811865476
353,Robert Traylor,2002,2793505,MICHIGAN,1.195009046121758
354,Antonio Daniels,2002,3000000,BOWLGREEN,-0.49724699938116385
355,Brian Shaw,2002,963415,UCSB,-0.7071067811865475
356,Jake Voskuhl,2002,465850,UCONN,-0.7071067811865476
357,Michael Curry,2002,2400000,GEORGIASOU,0.0
358,Raja Bell,2002,540850,FLINTERNAT,-0.8646964692001883
359,Stacey Augmon,2002,2400000,UNLV,0.5773502691896258
360,Darvin Ham,2002,1760000,TXTECH,0.6269979174471779
361,Jeff Foster,2002,986400,SWTEXAS,-0.954163964419015
362,Ervin Johnson,2002,3670929,NORLEANS,0.5617783958537989
363,Paul Pierce,2003,10067750,KANSAS,-0.33359719072445737
364,Michael Redd,2003,3000000,OHIOST,-0.515763486092741
365,Vince Carter,2003,10067750,UNC,0.05071255958201612
366,Stephon Marbury,2003,12375000,GATECH,0.09685710638225944
367,Zach Randolph,2003,1095720,MICHIGANST,-1.530237913129534
368,Sam Cassell,2003,4850000,FLORIDAST,-0.0885806316953952
