,Player,Year,Status,Points Per Game,Assists Per Game,Rebounds Per Game,Goals Made Per Game
132,Eddie Robinson,2000,Professional,7.432835820895522,0.8805970149253731,2.955223880597015,3.2238805970149254
133,Eric Snow,2000,Professional,9.82,7.38,3.32,3.64
134,Michael Doleac,2000,Professional,6.363636363636363,0.8441558441558441,3.5454545454545454,2.857142857142857
135,Robert Pack,2000,Professional,6.472972972972973,3.9594594594594597,1.8513513513513513,2.445945945945946
136,Desmond Mason,2000,Professional,5.935897435897436,0.8076923076923077,3.1923076923076925,2.423076923076923
137,Damon Jones,2000,Professional,6.492957746478873,3.1549295774647885,1.7464788732394365,2.3943661971830985
138,Anthony Carter,2000,Professional,6.402777777777778,3.7222222222222223,2.5,2.7083333333333335
139,Keyon Dooling,2000,Professional,5.907894736842105,2.3289473684210527,1.1710526315789473,1.9473684210526316
140,Danny Ferry,2000,Professional,5.6,0.8875,2.7875,2.225
141,Sean Rooks,2000,Professional,5.439024390243903,0.9390243902439024,3.6951219512195124,2.0609756097560976
142,Malik Rose,2000,Professional,7.666666666666667,0.8421052631578947,5.4035087719298245,2.807017543859649
143,Olden Polynice,2000,Professional,5.296296296296297,0.38271604938271603,4.666666666666667,2.54320987654321
144,Dell Curry,2000,Professional,6.042253521126761,1.056338028169014,1.1971830985915493,2.2816901408450705
145,Mateen Cleaves,2000,Professional,5.410256410256411,2.6538461538461537,1.6923076923076923,2.051282051282051
146,Brian Shaw,2000,Professional,5.2625,3.225,3.8,2.05
147,Monty Williams,2000,Professional,5.0,0.9634146341463414,2.9634146341463414,1.975609756097561
148,Robert Horry,2000,Professional,5.151898734177215,1.620253164556962,3.7468354430379747,1.860759493670886
149,Scott Williams,2000,Professional,6.106060606060606,0.5303030303030303,5.515151515151516,2.590909090909091
150,Robert Traylor,2000,Professional,5.742857142857143,0.9,4.285714285714286,2.3
151,DerMarr Johnson,2000,Professional,5.089743589743589,0.8205128205128205,2.282051282051282,1.8717948717948718
152,Stromile Swift,2000,Professional,4.8875,0.35,3.55,1.9125
153,Jerome Williams,2000,Professional,6.305084745762712,0.7627118644067796,6.47457627118644,2.305084745762712
154,A.C. Green,2000,Professional,4.475609756097561,0.47560975609756095,3.817073170731707,1.7560975609756098
155,Greg Ostertag,2000,Professional,4.481481481481482,0.2716049382716049,5.1234567901234565,1.7160493827160495
156,Chris Childs,2000,Professional,4.701298701298701,4.6103896103896105,2.6233766233766236,1.7532467532467533
157,Mikki Moore,2000,Professional,4.432098765432099,0.4074074074074074,3.9012345679012346,1.6296296296296295
158,Troy Hudson,2000,Professional,4.76,2.16,1.4,1.6666666666666667
159,Jamaal Magloire,2000,Professional,4.581081081081081,0.36486486486486486,3.9864864864864864,1.6486486486486487
160,Samaki Walker,2000,Professional,5.262295081967213,0.47540983606557374,3.9836065573770494,1.9836065573770492
161,Jelani McCoy,2000,Professional,4.5285714285714285,0.8142857142857143,3.585714285714286,1.9714285714285715
162,Jumaine Jones,2000,Professional,4.676923076923077,0.49230769230769234,2.9076923076923076,1.876923076923077
163,Michael Smith,2000,Professional,3.810126582278481,1.2784810126582278,7.113924050632911,1.3417721518987342
164,Mario Elie,2000,Professional,4.397058823529412,1.9264705882352942,2.2794117647058822,1.5294117647058822
165,Sam Mitchell,2000,Professional,3.475609756097561,0.6951219512195121,1.5,1.4390243902439024
166,Ervin Johnson,2000,Professional,3.2439024390243905,0.4878048780487805,7.475609756097561,1.3170731707317074
167,Andrew DeClercq,2000,Professional,3.8955223880597014,0.47761194029850745,3.5223880597014925,1.5970149253731343
168,Todd MacCulloch,2000,Professional,4.126984126984127,0.15873015873015872,2.6666666666666665,1.7301587301587302
169,Evan Eschmeyer,2000,Professional,3.391891891891892,0.5405405405405406,4.945945945945946,1.2432432432432432
170,Jeff Foster,2000,Professional,3.507042253521127,0.4647887323943662,5.47887323943662,1.408450704225352
171,Kevin Ollie,2000,Professional,3.085714285714286,2.085714285714286,1.3571428571428572,1.0857142857142856
172,Dean Garrett,2000,Professional,2.5285714285714285,0.34285714285714286,3.1,1.0714285714285714
173,Derrick McKey,2000,Professional,2.196969696969697,1.121212121212121,2.6666666666666665,0.9090909090909091
174,Mark Madsen,2000,Professional,1.957142857142857,0.34285714285714286,2.1714285714285713,0.7857142857142857
175,Paul Pierce,2001,Professional,26.146341463414632,3.182926829268293,6.914634146341464,8.621951219512194
176,Tim Duncan,2001,Professional,25.475609756097562,3.7439024390243905,12.707317073170731,9.317073170731707
177,Allen Iverson,2001,Professional,31.383333333333333,5.516666666666667,4.483333333333333,11.083333333333334
178,Shaquille O'Neal,2001,Professional,27.19402985074627,2.985074626865672,10.671641791044776,10.626865671641792
179,Gary Payton,2001,Professional,22.134146341463413,8.987804878048781,4.829268292682927,8.987804878048781
180,Antoine Walker,2001,Professional,22.14814814814815,5.0246913580246915,8.814814814814815,8.222222222222221
181,Karl Malone,2001,Professional,22.35,4.2625,8.575,7.9375
182,Jalen Rose,2001,Professional,20.433734939759034,4.27710843373494,4.493975903614458,7.9879518072289155
183,Stephon Marbury,2001,Professional,20.414634146341463,8.121951219512194,3.2439024390243905,7.621951219512195
184,Shareef Abdur-Rahim,2001,Professional,21.246753246753247,3.103896103896104,9.03896103896104,7.766233766233766
185,Jerry Stackhouse,2001,Professional,21.43421052631579,5.302631578947368,4.144736842105263,6.894736842105263
186,Antawn Jamison,2001,Professional,19.74390243902439,1.9634146341463414,6.780487804878049,7.487804878048781
187,Cuttino Mobley,2001,Professional,21.7027027027027,2.527027027027027,4.054054054054054,8.04054054054054
188,Latrell Sprewell,2001,Professional,19.444444444444443,3.8641975308641974,3.6790123456790123,7.074074074074074
189,Allan Houston,2001,Professional,20.350649350649352,2.4675324675324677,3.272727272727273,7.376623376623376
190,Shawn Marion,2001,Professional,19.098765432098766,2.0123456790123457,9.925925925925926,8.074074074074074
191,Wally Szczerbiak,2001,Professional,18.670731707317074,3.1341463414634148,4.7682926829268295,7.426829268292683
192,Rasheed Wallace,2001,Professional,19.253164556962027,1.9240506329113924,8.164556962025317,7.632911392405063
193,Jason Terry,2001,Professional,19.28205128205128,5.6923076923076925,3.4615384615384617,6.717948717948718
194,Ray Allen,2001,Professional,21.782608695652176,3.927536231884058,4.521739130434782,7.681159420289855
195,Baron Davis,2001,Professional,18.097560975609756,8.512195121951219,4.2560975609756095,6.817073170731708
196,Vince Carter,2001,Professional,24.733333333333334,3.9833333333333334,5.216666666666667,9.316666666666666
197,Eddie Jones,2001,Professional,18.271604938271604,3.234567901234568,4.666666666666667,6.382716049382716
198,Steve Nash,2001,Professional,17.878048780487806,7.7317073170731705,3.097560975609756,6.402439024390244
199,Sam Cassell,2001,Professional,19.743243243243242,6.662162162162162,4.216216216216216,7.486486486486487
200,Elton Brand,2001,Professional,18.1625,2.3875,11.5625,6.65
201,Michael Finley,2001,Professional,20.63768115942029,3.3333333333333335,5.231884057971015,8.246376811594203
202,Andre Miller,2001,Professional,16.48148148148148,10.88888888888889,4.679012345679013,5.851851851851852
203,Chris Webber,2001,Professional,24.48148148148148,4.796296296296297,10.11111111111111,9.851851851851851
204,Nick Van Exel,2001,Professional,18.36111111111111,6.638888888888889,3.5277777777777777,6.958333333333333
205,Reggie Miller,2001,Professional,16.50632911392405,3.2025316455696204,2.7721518987341773,5.2405063291139244
206,Bonzi Wells,2001,Professional,16.972972972972972,2.7567567567567566,6.0,6.581081081081081
207,Jason Kidd,2001,Professional,14.731707317073171,9.853658536585366,7.2439024390243905,5.426829268292683
208,Keith Van Horn,2001,Professional,14.814814814814815,2.0246913580246915,7.518518518518518,5.814814814814815
209,Juwan Howard,2001,Professional,14.62962962962963,2.0864197530864197,7.555555555555555,5.703703703703703
210,Jeff McInnis,2001,Professional,14.617283950617283,6.172839506172839,2.6296296296296298,5.716049382716049
211,Alonzo Mourning,2001,Professional,15.706666666666667,1.16,8.426666666666666,5.96
212,Wesley Person,2001,Professional,15.076923076923077,2.217948717948718,3.769230769230769,5.987179487179487
